category,group,name,sci_name,url
plant,aquatics,yellow floating heart,nymphoides peltata,https://www.invasive.org/browse/subinfo.cfm?sub=12805
plant,aquatics,duck-lettuce,ottelia alismoides,https://www.invasive.org/browse/subinfo.cfm?sub=4619
plant,aquatics,cuban bulrush,oxycaryum cubense,https://www.invasive.org/browse/subinfo.cfm?sub=18425
plant,aquatics,reed canarygrass,phalaris arundinacea,https://www.invasive.org/browse/subinfo.cfm?sub=6170
plant,aquatics,european common reed,phragmites australis ssp. australis,https://www.invasive.org/browse/subinfo.cfm?sub=59038
plant,aquatics,water lettuce,pistia stratiotes,https://www.invasive.org/browse/subinfo.cfm?sub=3064
plant,aquatics,curly-leaved pondweed,potamogeton crispus,https://www.invasive.org/browse/subinfo.cfm?sub=6219
plant,aquatics,amphibious yellowcress,rorippa amphibia,https://www.invasive.org/browse/subinfo.cfm?sub=14098
plant,aquatics,roundleaf toothcup,rotala rotundifolia,https://www.invasive.org/browse/subinfo.cfm?sub=14622
plant,aquatics,arrowhead,sagittaria sagittifolia,https://www.invasive.org/browse/subinfo.cfm?sub=4541
plant,aquatics,eared salvinia,salvinia auriculata,https://www.invasive.org/browse/subinfo.cfm?sub=4637
plant,aquatics,giant salvinia,salvinia molesta,https://www.invasive.org/browse/subinfo.cfm?sub=2785
plant,aquatics,branched burreed,sparganium erectum,https://www.invasive.org/browse/subinfo.cfm?sub=4575
plant,aquatics,horn nut,trapa bicornis,https://www.invasive.org/browse/subinfo.cfm?sub=6541
plant,aquatics,european water chestnut,trapa natans,https://www.invasive.org/browse/subinfo.cfm?sub=3499
plant,aquatics,narrow-leaved cattail,typha angustifolia,https://www.invasive.org/browse/subinfo.cfm?sub=11603
plant,aquatics,cattail,typha spp.,https://www.invasive.org/browse/subinfo.cfm?sub=14989
plant,aquatics,asian kelp,undaria pinnatifida,https://www.invasive.org/browse/subinfo.cfm?sub=13873
plant,herbs,velvetleaf,abutilon theophrasti,abutilon theophrasti
plant,herbs,biddy-biddy,acaena novae-zelandiae,acaena novae-zelandiae
plant,herbs,bear's breech,acanthus mollis,acanthus mollis
plant,herbs,fernleaf yarrow,achillea filipendulina,achillea filipendulina
plant,herbs,common yarrow,achillea millefolium,achillea millefolium
plant,herbs,sneezewort yarrow,achillea ptarmica,achillea ptarmica
plant,herbs,devil's horsewhip,achyranthes aspera,achyranthes aspera
plant,herbs,japanese chaff flower,achyranthes japonica,achyranthes japonica
plant,herbs,american sweetflag,acorus calamus,acorus calamus
plant,herbs,rough maidenhair fern,adiantum hispidulum,adiantum hispidulum
plant,herbs,summer pheasant's eye,adonis aestivalis,adonis aestivalis
plant,herbs,goutweed,aegopodium podagraria,aegopodium podagraria
plant,herbs,agapanthus,agapanthus spp.,agapanthus spp.
plant,herbs,sisal,agave sisalana,agave sisalana
plant,herbs,croftonweed,ageratina adenophora,ageratina adenophora
plant,herbs,tropic ageratum,ageratum conyzoides,ageratum conyzoides
plant,herbs,carpet bugle,ajuga reptans,ajuga reptans
plant,herbs,hollyhock,alcea rosea,alcea rosea
plant,herbs,northern waterplantain,alisma plantago-aquatica,alisma plantago-aquatica
plant,herbs,garlic mustard,alliaria petiolata,alliaria petiolata
plant,herbs,wild onion,allium canadense,allium canadense
plant,herbs,white garlic,allium neapolitanum,allium neapolitanum
plant,herbs,three-cornered leek,allium triquetrum,allium triquetrum
plant,herbs,wild garlic,allium vineale,allium vineale
plant,herbs,giant taro,alocasia macrorrhizos,alocasia macrorrhizos
plant,herbs,barbados aloe,aloe vera,aloe vera
plant,herbs,red ginger,alpinia purpurata,alpinia purpurata
plant,herbs,mat chaff-flower,alternanthera caracasana,alternanthera caracasana
plant,herbs,russian mallow,althaea armeniaca,althaea armeniaca
plant,herbs,yellow alyssum,alyssum alyssoides,alyssum alyssoides
plant,herbs,tumble pigweed,amaranthus albus,amaranthus albus
plant,herbs,prostrate pigweed,amaranthus blitoides,amaranthus blitoides
plant,herbs,livid amaranth,amaranthus blitum,amaranthus blitum
plant,herbs,red amaranth,amaranthus cruentus,amaranthus cruentus
plant,herbs,low amaranth,amaranthus deflexus,amaranthus deflexus
plant,herbs,palmer amaranth,amaranthus palmeri,amaranthus palmeri
plant,herbs,redroot pigweed,amaranthus retroflexus,amaranthus retroflexus
plant,herbs,spiny amaranth,amaranthus spinosus,amaranthus spinosus
plant,herbs,slender amaranth,amaranthus viridis,amaranthus viridis
plant,herbs,common ragweed,ambrosia artemisiifolia,ambrosia artemisiifolia
plant,herbs,annual ragweed,ambrosia artemisiifolia var. elatior,ambrosia artemisiifolia var. elatior
plant,herbs,woollyleaf bursage,ambrosia grayi,ambrosia grayi
plant,herbs,skeletonleaf bursage,ambrosia tomentosa,ambrosia tomentosa
plant,herbs,greater ammi,ammi majus,ammi majus
plant,herbs,toothpick ammi,ammi visnaga,ammi visnaga
plant,herbs,tarweed fiddleneck,amsinckia lycopsoides,amsinckia lycopsoides
plant,herbs,common fiddleneck,amsinckia menziesii var. intermedia,amsinckia menziesii var. intermedia
plant,herbs,common bugloss,anchusa officinalis,anchusa officinalis
plant,herbs,spurred anoda,anoda cristata,anoda cristata
plant,herbs,corn chamomile,anthemis arvensis,anthemis arvensis
plant,herbs,stinking chamomile,anthemis cotula,anthemis cotula
plant,herbs,bur chervil,anthriscus caucalis,anthriscus caucalis
plant,herbs,wild chervil,anthriscus sylvestris,anthriscus sylvestris
plant,herbs,snapdragon,antirrhinum majus,antirrhinum majus
plant,herbs,hemp dogbane,apocynum cannabinum,apocynum cannabinum
plant,herbs,baby sun rose,aptenia cordifolia,aptenia cordifolia
plant,herbs,european columbine,aquilegia vulgaris,aquilegia vulgaris
plant,herbs,mouse-ear cress,arabidopsis thaliana,arabidopsis thaliana
plant,herbs,great burdock,arctium lappa,arctium lappa
plant,herbs,common burdock,arctium minus,arctium minus
plant,herbs,burdock,arctium spp.,arctium spp.
plant,herbs,capeweed,arctotheca calendula,arctotheca calendula
plant,herbs,thymeleaf sandwort,arenaria serpyllifolia,arenaria serpyllifolia
plant,herbs,annual wormwood,artemisia annua,artemisia annua
plant,herbs,biennial wormwood,artemisia biennis,artemisia biennis
plant,herbs,beach wormwood,artemisia stelleriana,artemisia stelleriana
plant,herbs,mugwort,artemisia vulgaris,artemisia vulgaris
plant,herbs,italian arum,arum italicum,https://www.invasive.org/browse/subinfo.cfm?sub=13931
plant,herbs,bloodflower milkweed,asclepias curassavica,https://www.invasive.org/browse/subinfo.cfm?sub=13933
plant,herbs,balloon cottonbush,asclepias physocarpa,https://www.invasive.org/browse/subinfo.cfm?sub=5158
plant,herbs,milkweed,asclepias spp.,https://www.invasive.org/browse/subinfo.cfm?sub=11594
plant,herbs,asparagus,asparagus officinalis,https://www.invasive.org/browse/subinfo.cfm?sub=11315
plant,herbs,asparagus,asparagus spp.,https://www.invasive.org/browse/subinfo.cfm?sub=16984
plant,herbs,catchweed,asperugo procumbens,https://www.invasive.org/browse/subinfo.cfm?sub=22944
plant,herbs,onionweed,asphodelus fistulosus,https://www.invasive.org/browse/subinfo.cfm?sub=4645
plant,herbs,garden orach,atriplex hortensis,https://www.invasive.org/browse/subinfo.cfm?sub=22517
plant,herbs,red orach,atriplex rosea,https://www.invasive.org/browse/subinfo.cfm?sub=13934
plant,herbs,peregrine saltbush,atriplex suberecta,https://www.invasive.org/browse/subinfo.cfm?sub=13935
plant,herbs,black horehound,ballota nigra,https://www.invasive.org/browse/subinfo.cfm?sub=25748
plant,herbs,arrowleaf balsamroot,balsamorhiza sagittata,https://www.invasive.org/browse/subinfo.cfm?sub=3762
plant,herbs,early wintercress,barbarea verna,https://www.invasive.org/browse/subinfo.cfm?sub=22436
plant,herbs,yellow rocket,barbarea vulgaris,https://www.invasive.org/browse/subinfo.cfm?sub=5175
plant,herbs,crested philippine violet,barleria cristata,https://www.invasive.org/browse/subinfo.cfm?sub=29925
plant,herbs,mexican fireweed,bassia scoparia,https://www.invasive.org/browse/subinfo.cfm?sub=19886
plant,herbs,blackberry lily,belamcanda chinensis,https://www.invasive.org/browse/subinfo.cfm?sub=15343
plant,herbs,bellardia,bellardia trixago,https://www.invasive.org/browse/subinfo.cfm?sub=5180
plant,herbs,english daisy,bellis perennis,https://www.invasive.org/browse/subinfo.cfm?sub=5178
plant,herbs,hoary alyssum,berteroa incana,https://www.invasive.org/browse/subinfo.cfm?sub=5177
plant,herbs,spanishneedles,bidens bipinnata,https://www.invasive.org/browse/subinfo.cfm?sub=5184
plant,herbs,hairy beggarticks,bidens pilosa,https://www.invasive.org/browse/subinfo.cfm?sub=5189
plant,herbs,scarlet spiderling,boerhavia coccinea,https://www.invasive.org/browse/subinfo.cfm?sub=13937
plant,herbs,common borage,borago officinalis,https://www.invasive.org/browse/subinfo.cfm?sub=17377
plant,herbs,indian mustard,brassica juncea,https://www.invasive.org/browse/subinfo.cfm?sub=5205
plant,herbs,rapeseed,brassica napus,https://www.invasive.org/browse/subinfo.cfm?sub=2793
plant,herbs,black mustard,brassica nigra,https://www.invasive.org/browse/subinfo.cfm?sub=5206
plant,herbs,birdsrape mustard,brassica rapa,https://www.invasive.org/browse/subinfo.cfm?sub=5209
plant,herbs,african mustard,brassica tournefortii,https://www.invasive.org/browse/subinfo.cfm?sub=5215
plant,herbs,corn gromwell,buglossoides arvensis,https://www.invasive.org/browse/subinfo.cfm?sub=5216
plant,herbs,hill mustard,bunias orientalis,https://www.invasive.org/browse/subinfo.cfm?sub=14692
plant,herbs,hare's ear,bupleurum rotundifolium,https://www.invasive.org/browse/subinfo.cfm?sub=5218
plant,herbs,field marigold,calendula arvensis,https://www.invasive.org/browse/subinfo.cfm?sub=22378
plant,herbs,pot marigold,calendula officinalis,https://www.invasive.org/browse/subinfo.cfm?sub=22945
plant,herbs,basketplant,callisia fragrans,https://www.invasive.org/browse/subinfo.cfm?sub=10117
plant,herbs,heather,calluna vulgaris,https://www.invasive.org/browse/subinfo.cfm?sub=11690
plant,herbs,smallseed falseflax,camelina microcarpa,https://www.invasive.org/browse/subinfo.cfm?sub=5245
plant,herbs,tussock bellflower,campanula carpatica,https://www.invasive.org/browse/subinfo.cfm?sub=17236
plant,herbs,clustered bellflower,campanula glomerata,https://www.invasive.org/browse/subinfo.cfm?sub=18530
plant,herbs,canterbury bells,campanula medium,https://www.invasive.org/browse/subinfo.cfm?sub=27706
plant,herbs,creeping bellflower,campanula rapunculoides,https://www.invasive.org/browse/subinfo.cfm?sub=5257
plant,herbs,indian shot,canna indica,https://www.invasive.org/browse/subinfo.cfm?sub=13949
plant,herbs,marijuana,cannabis sativa,https://www.invasive.org/browse/subinfo.cfm?sub=5259
plant,herbs,shepherd's-purse,capsella bursa-pastoris,https://www.invasive.org/browse/subinfo.cfm?sub=5222
plant,herbs,woodland bittercress,cardamine flexuosa,https://www.invasive.org/browse/subinfo.cfm?sub=13950
plant,herbs,hairy bittercress,cardamine hirsuta,https://www.invasive.org/browse/subinfo.cfm?sub=5238
plant,herbs,narrowleaf bittercress,cardamine impatiens,https://www.invasive.org/browse/subinfo.cfm?sub=11539
plant,herbs,spiny plumeless thistle,carduus acanthoides,https://www.invasive.org/browse/subinfo.cfm?sub=3400
plant,herbs,musk thistle,carduus nutans,https://www.invasive.org/browse/subinfo.cfm?sub=3011
plant,herbs,italian plumeless thistle,carduus pycnocephalus,https://www.invasive.org/browse/subinfo.cfm?sub=4461
plant,herbs,slenderflower thistle,carduus tenuiflorus,https://www.invasive.org/browse/subinfo.cfm?sub=4421
plant,herbs,sea fig,carpobrotus chilensis,https://www.invasive.org/browse/subinfo.cfm?sub=18723
plant,herbs,woolly distaff thistle,carthamus lanatus,https://www.invasive.org/browse/subinfo.cfm?sub=5240
plant,herbs,wild safflower,carthamus oxyacanthus,https://www.invasive.org/browse/subinfo.cfm?sub=4553
plant,herbs,safflower,carthamus tinctorius,https://www.invasive.org/browse/subinfo.cfm?sub=16814
plant,herbs,common caraway,carum carvi,https://www.invasive.org/browse/subinfo.cfm?sub=5224
plant,herbs,field indian paintbrush,castilleja arvensis,https://www.invasive.org/browse/subinfo.cfm?sub=13953
plant,herbs,purple starthistle,centaurea calcitrapa,https://www.invasive.org/browse/subinfo.cfm?sub=5268
plant,herbs,dusty miller,centaurea cineraria,https://www.invasive.org/browse/subinfo.cfm?sub=31487
plant,herbs,cornflower,centaurea cyanus,https://www.invasive.org/browse/subinfo.cfm?sub=5269
plant,herbs,diffuse knapweed,centaurea diffusa,https://www.invasive.org/browse/subinfo.cfm?sub=4472
plant,herbs,north african knapweed,centaurea diluta,https://www.invasive.org/browse/subinfo.cfm?sub=11979
plant,herbs,brown knapweed,centaurea jacea,https://www.invasive.org/browse/subinfo.cfm?sub=5278
plant,herbs,malta starthistle,centaurea melitensis,https://www.invasive.org/browse/subinfo.cfm?sub=5281
plant,herbs,perennial cornflower,centaurea montana,https://www.invasive.org/browse/subinfo.cfm?sub=17238
plant,herbs,black knapweed,centaurea nigra,https://www.invasive.org/browse/subinfo.cfm?sub=5282
plant,herbs,alpine knapweed,centaurea nigrescens,https://www.invasive.org/browse/subinfo.cfm?sub=5283
plant,herbs,yellow starthistle,centaurea solstitialis,https://www.invasive.org/browse/subinfo.cfm?sub=4390
plant,herbs,knapweeds,centaurea spp.,https://www.invasive.org/browse/subinfo.cfm?sub=9563
plant,herbs,spotted knapweed,centaurea stoebe,https://www.invasive.org/browse/subinfo.cfm?sub=50209
plant,herbs,spotted knapweed,centaurea stoebe ssp. micranthos,https://www.invasive.org/browse/subinfo.cfm?sub=3013
plant,herbs,sulphur knapweed,centaurea sulphurea,https://www.invasive.org/browse/subinfo.cfm?sub=5289
plant,herbs,squarrose knapweed,centaurea virgata,https://www.invasive.org/browse/subinfo.cfm?sub=4373
plant,herbs,meadow knapweed,centaurea x moncktonii,https://www.invasive.org/browse/subinfo.cfm?sub=4348
plant,herbs,european centaury,centaurium erythraea,https://www.invasive.org/browse/subinfo.cfm?sub=13956
plant,herbs,asiatic pennywort,centella asiatica,https://www.invasive.org/browse/subinfo.cfm?sub=13316
plant,herbs,red valerian,centranthus ruber,https://www.invasive.org/browse/subinfo.cfm?sub=13957
plant,herbs,common tarweed,centromadia pungens ssp. pungens,https://www.invasive.org/browse/subinfo.cfm?sub=5708
plant,herbs,common mouse-ear chickweed,cerastium fontanum,https://www.invasive.org/browse/subinfo.cfm?sub=5274
plant,herbs,big chickweed,cerastium fontanum ssp. vulgare,https://www.invasive.org/browse/subinfo.cfm?sub=5275
plant,herbs,sticky chickweed,cerastium glomeratum,https://www.invasive.org/browse/subinfo.cfm?sub=22638
plant,herbs,boreal chickweed,cerastium tomentosum,https://www.invasive.org/browse/subinfo.cfm?sub=11542
plant,herbs,bur buttercup,ceratocephala testiculata,https://www.invasive.org/browse/subinfo.cfm?sub=5290
plant,herbs,sensitive partridgepea,chamaecrista nictitans,https://www.invasive.org/browse/subinfo.cfm?sub=12911
plant,herbs,garden spurge,chamaesyce hirta,https://www.invasive.org/browse/subinfo.cfm?sub=13958
plant,herbs,ground spurge,chamaesyce prostrata,https://www.invasive.org/browse/subinfo.cfm?sub=13318
plant,herbs,greater celandine,chelidonium majus,https://www.invasive.org/browse/subinfo.cfm?sub=11543
plant,herbs,lambsquarters,chenopodium album,https://www.invasive.org/browse/subinfo.cfm?sub=5294
plant,herbs,perennial goosefoot,chenopodium bonus-henricus,https://www.invasive.org/browse/subinfo.cfm?sub=34262
plant,herbs,nettleleaf goosefoot,chenopodium murale,https://www.invasive.org/browse/subinfo.cfm?sub=5312
plant,herbs,giantseed goosefoot,chenopodium simplex,https://www.invasive.org/browse/subinfo.cfm?sub=5316
plant,herbs,goosefoot,chenopodium spp.,https://www.invasive.org/browse/subinfo.cfm?sub=14935
plant,herbs,stinking goosefoot,chenopodium vulvaria,https://www.invasive.org/browse/subinfo.cfm?sub=50717
plant,herbs,rush skeletonweed,chondrilla juncea,https://www.invasive.org/browse/subinfo.cfm?sub=4404
plant,herbs,blue mustard,chorispora tenella,https://www.invasive.org/browse/subinfo.cfm?sub=5317
plant,herbs,chickpea,cicer arietinum,https://www.invasive.org/browse/subinfo.cfm?sub=20609
plant,herbs,chicory,cichorium intybus,https://www.invasive.org/browse/subinfo.cfm?sub=5332
plant,herbs,spotted waterhemlock,cicuta maculata,https://www.invasive.org/browse/subinfo.cfm?sub=5334
plant,herbs,water hemlock,cicuta spp.,https://www.invasive.org/browse/subinfo.cfm?sub=53693
plant,herbs,canada thistle,cirsium arvense,https://www.invasive.org/browse/subinfo.cfm?sub=2792
plant,herbs,field thistle,cirsium discolor,https://www.invasive.org/browse/subinfo.cfm?sub=5327
plant,herbs,yellowspine thistle,cirsium ochrocentrum,https://www.invasive.org/browse/subinfo.cfm?sub=5338
plant,herbs,marsh thistle,cirsium palustre,https://www.invasive.org/browse/subinfo.cfm?sub=12785
plant,herbs,thistle,cirsium spp.,https://www.invasive.org/browse/subinfo.cfm?sub=12411
plant,herbs,wavyleaf thistle,cirsium undulatum,https://www.invasive.org/browse/subinfo.cfm?sub=5341
plant,herbs,tracy's thistle,cirsium undulatum var. tracyi,https://www.invasive.org/browse/subinfo.cfm?sub=5342
plant,herbs,bull thistle,cirsium vulgare,https://www.invasive.org/browse/subinfo.cfm?sub=3393
plant,herbs,miner's lettuce,claytonia perfoliata,https://www.invasive.org/browse/subinfo.cfm?sub=40499
plant,herbs,wild basil,clinopodium vulgare,https://www.invasive.org/browse/subinfo.cfm?sub=54672
plant,herbs,blessed thistle,cnicus benedictus,https://www.invasive.org/browse/subinfo.cfm?sub=10099
plant,herbs,"coco yam, wild taro",colocasia esculenta,https://www.invasive.org/browse/subinfo.cfm?sub=5369
plant,herbs,benghal dayflower,commelina benghalensis,https://www.invasive.org/browse/subinfo.cfm?sub=4551
plant,herbs,asiatic dayflower,commelina communis,https://www.invasive.org/browse/subinfo.cfm?sub=5365
plant,herbs,spreading dayflower,commelina diffusa,https://www.invasive.org/browse/subinfo.cfm?sub=5366
plant,herbs,poison-hemlock,conium maculatum,https://www.invasive.org/browse/subinfo.cfm?sub=4365
plant,herbs,doubtful knight's-spur,consolida ajacis,https://www.invasive.org/browse/subinfo.cfm?sub=31186
plant,herbs,lily of the valley,convallaria majalis,https://www.invasive.org/browse/subinfo.cfm?sub=5375
plant,herbs,hairy fleabane,conyza bonariensis,https://www.invasive.org/browse/subinfo.cfm?sub=5361
plant,herbs,lanceleaf tickseed,coreopsis lanceolata,https://www.invasive.org/browse/subinfo.cfm?sub=20154
plant,herbs,lesser swinecress,coronopus didymus,https://www.invasive.org/browse/subinfo.cfm?sub=5367
plant,herbs,incised fumewort,corydalis incisa,https://www.invasive.org/browse/subinfo.cfm?sub=78096
plant,herbs,spring fumewort,corydalis solida,https://www.invasive.org/browse/subinfo.cfm?sub=11694
plant,herbs,sulphur cosmos,cosmos sulphureus,https://www.invasive.org/browse/subinfo.cfm?sub=5383
plant,herbs,canereed,costus speciosus,https://www.invasive.org/browse/subinfo.cfm?sub=13975
plant,herbs,golden chamomile,cota tinctoria,https://www.invasive.org/browse/subinfo.cfm?sub=17234
plant,herbs,southern brassbuttons,cotula australis,https://www.invasive.org/browse/subinfo.cfm?sub=13977
plant,herbs,brassbuttons,cotula coronopifolia,https://www.invasive.org/browse/subinfo.cfm?sub=18729
plant,herbs,mexican brassbuttons,cotula mexicana,https://www.invasive.org/browse/subinfo.cfm?sub=22392
plant,herbs,italian hawksbeard,crepis bursifolia,https://www.invasive.org/browse/subinfo.cfm?sub=22393
plant,herbs,smooth hawksbeard,crepis capillaris,https://www.invasive.org/browse/subinfo.cfm?sub=5387
plant,herbs,bristly hawksbeard,crepis setosa,https://www.invasive.org/browse/subinfo.cfm?sub=5394
plant,herbs,narrowleaf hawksbeard,crepis tectorum,https://www.invasive.org/browse/subinfo.cfm?sub=5396
plant,herbs,montbretia,crocosmia x crocosmiiflora,https://www.invasive.org/browse/subinfo.cfm?sub=18731
plant,herbs,shakeshake,crotalaria incana,https://www.invasive.org/browse/subinfo.cfm?sub=47972
plant,herbs,wedge-leaf rattlebox,crotalaria retusa,https://www.invasive.org/browse/subinfo.cfm?sub=45500
plant,herbs,showy rattlebox,crotalaria spectabilis,https://www.invasive.org/browse/subinfo.cfm?sub=5395
plant,herbs,smooth bedstraw,cruciata laevipes,https://www.invasive.org/browse/subinfo.cfm?sub=11544
plant,herbs,common crupina,crupina vulgaris,https://www.invasive.org/browse/subinfo.cfm?sub=4414
plant,herbs,tarweed cuphea,cuphea carthagenensis,https://www.invasive.org/browse/subinfo.cfm?sub=13981
plant,herbs,giant sumpweed,cyclachaena xanthifolia,https://www.invasive.org/browse/subinfo.cfm?sub=5891
plant,herbs,wild celery,cyclospermum leptophyllum,https://www.invasive.org/browse/subinfo.cfm?sub=22371
plant,herbs,kenilworth ivy,cymbalaria muralis,https://www.invasive.org/browse/subinfo.cfm?sub=14694
plant,herbs,cardoon,cynara cardunculus,https://www.invasive.org/browse/subinfo.cfm?sub=5482
plant,herbs,houndstongue,cynoglossum officinale,https://www.invasive.org/browse/subinfo.cfm?sub=5502
plant,herbs,japanese netvein hollyfern,cyrtomium falcatum,https://www.invasive.org/browse/subinfo.cfm?sub=37084
plant,herbs,chinese thorn-apple,datura quercifolia,https://www.invasive.org/browse/subinfo.cfm?sub=5520
plant,herbs,jimsonweed,datura stramonium,https://www.invasive.org/browse/subinfo.cfm?sub=5521
plant,herbs,"queen anne's lace, wild carrot",daucus carota,https://www.invasive.org/browse/subinfo.cfm?sub=5514
plant,herbs,cape ivy,delairea odorata,https://www.invasive.org/browse/subinfo.cfm?sub=5529
plant,herbs,japanese false spleenwort,deparia petersenii,https://www.invasive.org/browse/subinfo.cfm?sub=5530
plant,herbs,flixweed,descurainia sophia,https://www.invasive.org/browse/subinfo.cfm?sub=5532
plant,herbs,deptford pink,dianthus armeria,https://www.invasive.org/browse/subinfo.cfm?sub=5536
plant,herbs,maiden pink,dianthus deltoides,https://www.invasive.org/browse/subinfo.cfm?sub=17252
plant,herbs,asian ponysfoot,dichondra micrantha,https://www.invasive.org/browse/subinfo.cfm?sub=22749
plant,herbs,grecian foxglove,digitalis lanata,https://www.invasive.org/browse/subinfo.cfm?sub=13990
plant,herbs,foxglove,digitalis purpurea,https://www.invasive.org/browse/subinfo.cfm?sub=5547
plant,herbs,glandular cape marigold,dimorphotheca sinuata,https://www.invasive.org/browse/subinfo.cfm?sub=22379
plant,herbs,yam,dioscorea spp.,https://www.invasive.org/browse/subinfo.cfm?sub=55395
plant,herbs,wall rocket,diplotaxis tenuifolia,https://www.invasive.org/browse/subinfo.cfm?sub=14695
plant,herbs,okie bean,dipogon lignosus,https://www.invasive.org/browse/subinfo.cfm?sub=42444
plant,herbs,common teasel,dipsacus fullonum,https://www.invasive.org/browse/subinfo.cfm?sub=3018
plant,herbs,cutleaf teasel,dipsacus laciniatus,https://www.invasive.org/browse/subinfo.cfm?sub=5545
plant,herbs,fuller's teasel,dipsacus sativus,https://www.invasive.org/browse/subinfo.cfm?sub=5550
plant,herbs,teasel,dipsacus spp.,https://www.invasive.org/browse/subinfo.cfm?sub=4586
plant,herbs,stinkwort,dittrichia graveolens,https://www.invasive.org/browse/subinfo.cfm?sub=18736
plant,herbs,spring whitlowgrass,draba verna,https://www.invasive.org/browse/subinfo.cfm?sub=5557
plant,herbs,showy dewflower,drosanthemum floribundum,https://www.invasive.org/browse/subinfo.cfm?sub=22365
plant,herbs,mexicantea,dysphania ambrosioides,https://www.invasive.org/browse/subinfo.cfm?sub=5300
plant,herbs,clammy goosefoot,dysphania pumilio,https://www.invasive.org/browse/subinfo.cfm?sub=13959
plant,herbs,great globethistle,echinops sphaerocephalus,https://www.invasive.org/browse/subinfo.cfm?sub=14696
plant,herbs,pine echium,echium pininana,https://www.invasive.org/browse/subinfo.cfm?sub=22432
plant,herbs,salvation jane,echium plantagineum,https://www.invasive.org/browse/subinfo.cfm?sub=12265
plant,herbs,common viper's bugloss,echium vulgare,https://www.invasive.org/browse/subinfo.cfm?sub=5564
plant,herbs,eclipta,eclipta prostrata,https://www.invasive.org/browse/subinfo.cfm?sub=5563
plant,herbs,common elodea,elodea canadensis,https://www.invasive.org/browse/subinfo.cfm?sub=5574
