ID;Longitude;Latitude;LandArea;PropLandArea;Biome;Realm;Country;SpeciesRichness_Expert;RecordDensity;SpeciesRichness_Records;InventoryCompleteness;NSpecies_Missed;EndemismRichness;Mountains;ProtectedAreas;OnGroundAccessibility;ProximityToAirports;ProximityToInstitutions;GlobalPeaceIndex;ScientificActivities;GBIF_Participation;ResearchFunding_National;ResearchFunding_Institutions;PublisherSize;UsedInModels
204;23,5;79,11166;3567159392;0,01;Tundra;Palaearctic;Svalbard and Jan Mayen;12;36,44356356;3;25;9;0,037725801;724;1;2198,55;441,3044202;56785,1546;NA;2;0;NA;819,6819533;20027074,31;0
205;24,5;79,11166;2362997821;0,000434;Tundra;Palaearctic;Svalbard and Jan Mayen;11;8,463824985;2;18,18181818;9;0,037415531;724;1;2185,31;459,5137649;56874,45656;NA;2;0;NA;1064,232231;79259792;0
206;25,5;79,11166;1763010821;0,00311;Tundra;Palaearctic;Svalbard and Jan Mayen;10;170,1634479;3;30;7;0,037059279;703;1;1990,87;478,1351081;56975,20061;NA;2;0;NA;746,31687;2257259;0
207;26,5;79,11166;979476369,9;0,00408;Tundra;Palaearctic;Svalbard and Jan Mayen;10;30,62861027;3;30;7;0,037059279;503;1;1660,86;497,099912;57087,2964;NA;2;0;NA;1064,232231;79259792;0
208;27,5;79,11166;127338827,1;0,000283;Tundra;Palaearctic;Svalbard and Jan Mayen;10;0;0;0;10;0,037059279;199;1;1358,65;516,354182;NA;NA;2;0;NA;NA;NA;0
209;28,5;79,11166;215860179;0,0013;Tundra;Palaearctic;Svalbard and Jan Mayen;6;0;0;0;6;0,005827382;265;1;1185,51;535,8547012;NA;NA;2;0;NA;NA;NA;0
210;29,5;79,11166;56146121,93;0,000113;Tundra;Palaearctic;Svalbard and Jan Mayen;5;0;0;0;5;0,004618193;211;1;1005,73;555,5662981;NA;NA;2;0;NA;NA;NA;0
211;30,5;79,11166;12911469,33;0;Tundra;Palaearctic;Svalbard and Jan Mayen;4;0;0;0;4;0,004117191;29;1;927,684;575,4598758;NA;NA;2;0;NA;NA;NA;0
212;31,5;79,11166;15249006,39;0;Tundra;Palaearctic;Svalbard and Jan Mayen;5;0;0;0;5;0,004618193;265;1;947,6;592,4183381;NA;NA;2;0;NA;NA;NA;0
213;32,5;79,11166;128245482,5;0,000377;Tundra;Palaearctic;Svalbard and Jan Mayen;5;0;0;0;5;0,004618193;266;1;927,756;606,6200926;NA;NA;2;0;NA;NA;NA;0
214;33,5;79,11166;30507641,5;0;Tundra;Palaearctic;Svalbard and Jan Mayen;5;0;0;0;5;0,004618193;267;1;908,167;620,7036849;NA;NA;2;0;NA;NA;NA;0
217;36,5;79,11166;12206237,44;0;Tundra;Palaearctic;Svalbard and Jan Mayen;5;0;0;0;5;0,004618193;103;0;1056,42;664,8734509;NA;NA;2;0;NA;NA;NA;0
225;44,5;79,11166;4267353,017;0;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;19;1;1787,27;791,377049;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
226;45,5;79,11166;190082560,2;0,00255;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;396;1;1912,02;805,2950926;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
227;46,5;79,11166;451530916,8;0,00894;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;500;1;2067,76;819,457215;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
228;47,5;79,11166;668330471,4;0,00189;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;437;1;2144,49;832,5924408;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
229;48,5;79,11166;899922746,8;0,001;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;396;1;2206,67;840,3874844;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
230;49,5;79,11166;889709907,1;0;Tundra;Palaearctic;Russia;9;0;0;0;9;0,00809824;404;1;2310,65;848,3534448;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
231;50,5;79,11166;1051941201;0,000811;Tundra;Palaearctic;Russia;9;0;0;0;9;0,00809824;485;1;2505,56;856,493452;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
232;51,5;79,11166;312247739,6;0,000943;Tundra;Palaearctic;Russia;9;0;0;0;9;0,00809824;414;1;2389,12;864,8104758;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
233;52,5;79,11166;218280986,6;0;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;561;1;2459,84;873,307319;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
234;53,5;79,11166;432151847,5;0;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;415;1;2561,05;881,9866174;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
235;54,5;79,11166;607577202,6;5,66E-05;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;456;1;2765,97;890,8508473;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
236;55,5;79,11166;763156087,3;0,0014;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;445;1;3025,82;899,9023387;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
237;56,5;79,11166;1601736006;0,00304;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;484;1;3226,75;909,1432951;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
238;57,5;79,11166;1776424637;0,000283;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;533;1;3485,76;918,5758172;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
239;58,5;79,11166;1272264121;0;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;593;1;3345,78;928,2019321;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
240;59,5;79,11166;859680861,9;7,55E-05;Tundra;Palaearctic;Russia;8;0;0;0;8;0,007478661;443;1;3042,32;938,0236231;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
241;60,5;79,11166;1115771370;0,000906;Tundra;Palaearctic;Russia;9;0;0;0;9;0,008056028;589;1;2982,89;948,042862;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
242;61,5;79,11166;957664170,5;0,00526;Tundra;Palaearctic;Russia;10;0;0;0;10;0,009403737;464;1;2742,16;958,2616399;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
243;62,5;79,11166;323489547,4;0,00243;Tundra;Palaearctic;Russia;10;0;0;0;10;0,009403737;336;1;2490,35;968,6819966;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
244;63,5;79,11166;731010756,5;0,00972;Tundra;Palaearctic;Russia;10;0;0;0;10;0,009403737;512;1;2456,06;975,6933327;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
245;64,5;79,11166;821757158,7;0,0016;Tundra;Palaearctic;Russia;12;0;0;0;12;0,025723477;353;1;2243,02;983,071251;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
246;65,5;79,11166;400728344,8;0;Tundra;Palaearctic;Russia;12;0;0;0;12;0,025723477;432;1;1924,63;990,8285037;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
257;76,5;79,11166;193993953,8;0;Tundra;Palaearctic;Russia;5;0;0;0;5;0,004597215;NA;0;2349,94;1028,554368;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
258;77,5;79,11166;88314041,66;0;Tundra;Palaearctic;Russia;5;0;0;0;5;0,004597215;NA;0;2455,99;1028,297079;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
259;78,5;79,11166;71086428,31;0;NA;NA;Russia;5;0;0;0;5;0,004597215;NA;0;2720,35;1028,650369;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
260;79,5;79,11166;206856572,2;0;Tundra;Palaearctic;Russia;5;0;0;0;5;0,004597215;277;0;2751,12;1026,681129;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
261;80,5;79,11166;NA;0;Tundra;Palaearctic;NA;5;0;0;0;5;0,004597215;217;NA;NA;1020,943045;NA;NA;NA;NA;NA;NA;NA;0
263;82,5;79,11166;32922377,25;0,00168;NA;NA;Russia;5;0;0;0;5;0,004597215;NA;1;2776,52;1011,241134;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
270;89,5;79,11166;153626828,3;0;Tundra;Palaearctic;Russia;9;0;0;0;9;0,011175084;53;0,998367529;3945,7;995,425262;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
271;90,5;79,11166;277591703,9;0,000868;Tundra;Palaearctic;Russia;10;0;0;0;10;0,011594196;322;0,066969529;4185;992,7849882;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
272;91,5;79,11166;770866746,2;0,000547;Tundra;Palaearctic;Russia;10;0;0;0;10;0,011594196;313;0,022107913;4277,39;988,4892306;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
338;157,5;79,11166;NA;0;NA;NA;NA;2;0;0;0;2;0,001077039;NA;NA;NA;1119,296833;NA;NA;NA;NA;NA;NA;NA;0
339;158,5;79,11166;3188129,402;0;NA;NA;Russia;2;0;0;0;2;0,001077039;NA;0;NA;1124,672482;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
417;-123,5;74,58264;5991558976;0,44;Tundra;Nearctic;Canada;36;10,01408819;2;5,555555556;34;0,024054854;321;0,501001874;4298,73;550,5523369;106285,8473;1,3845;92,05453125;1;634,691322;1064,232231;208290;1
418;-122,5;74,58264;7175536258;0,5;Tundra;Nearctic;Canada;34;6,96812032;2;5,882352941;32;0,022041159;337;0,377712341;4655,86;558,854798;106030,0981;1,3845;92,05453125;1;634,691322;892,4158674;81106,2;1
419;-121,5;74,58264;7846567972;0,59;Tundra;Nearctic;Canada;34;140,1886792;23;67,64705882;11;0,022041159;371;0,221508633;5058,01;561,6052435;105768,6521;1,3845;92,05453125;1;634,691322;693,2650823;10167498,76;1
420;-120,5;74,58264;7344710935;0,54;Tundra;Nearctic;Canada;33;565,0324481;28;84,84848485;5;0,021859999;351;0,4736043;5317,31;563,9974367;105501,5423;1,3845;92,05453125;1;634,691322;839,6289123;37864643;1
421;-119,5;74,58264;6646811288;0,48;Tundra;Nearctic;Canada;35;3213,571;34;97,14285714;1;0,025535126;355;0,626813219;5204,92;567,8459065;105228,8023;1,3845;92,05453125;1;634,691322;770,6321715;25145033,24;1
422;-118,5;74,58264;6375812848;0,48;Tundra;Nearctic;Canada;34;111,3583502;21;61,76470588;13;0,024974588;465;0,49244105;5375,41;573,0614693;104950,4655;1,3845;92,05453125;1;634,691322;828,2872246;35772977,94;1
423;-117,5;74,58264;6085216212;0,43;Tundra;Nearctic;Canada;34;4,92998095;3;8,823529412;31;0,025931061;416;0,067512695;5657,78;572,1736366;104666,5654;1,3845;92,05453125;1;634,691322;634,691322;68910;1
424;-116,5;74,58264;6204113147;0,43;Tundra;Nearctic;Canada;34;9,671003507;5;14,70588235;29;0,025126555;632;0;5908,3;571,3916985;104377,1352;1,3845;92,05453125;1;634,691322;992,6420795;66061311,67;1
425;-115,5;74,58264;6322292206;0,41;Tundra;Nearctic;Canada;33;7,908524056;4;12,12121212;29;0,023917366;716;0;6344,74;571,7927204;104082,2082;1,3845;92,05453125;1;634,691322;634,691322;68910;1
426;-114,5;74,58264;6469222577;0,42;Tundra;Nearctic;Canada;32;15,45780792;6;18,75;26;0,021299461;770;0;6656,24;573,3196337;103781,8171;1,3845;92,05453125;1;634,691322;1064,232231;79259792;1
427;-113,5;74,58264;5251914351;0,37;Tundra;Nearctic;Canada;32;20,9447437;11;34,375;21;0,021299461;660;0;6884,08;575,9165264;103475,9943;1,3845;92,05453125;1;634,691322;634,691322;94070;1
428;-112,5;74,58264;5799721628;0,43;Tundra;Nearctic;Canada;31;36,20863439;13;41,93548387;18;0,020799711;587;0;7119,57;576,624671;103164,7719;1,3845;92,05453125;1;634,691322;777,871625;26482644;1
432;-108,5;74,58264;4389970610;0,35;Tundra;Nearctic;Canada;31;136,6751747;14;45,16129032;17;0,020799711;303;0;7252,33;574,5902196;101866,5043;1,3845;92,05453125;1;634,691322;1064,232231;79259792;1
433;-107,5;74,58264;5244064817;0,39;Tundra;Nearctic;Canada;30;28,60376544;11;36,66666667;19;0,01911621;312;0;7165,26;575,6850307;101528,7421;1,3845;92,05453125;1;634,691322;1064,232231;79259792;1
434;-106,5;74,58264;5939555759;0,42;Tundra;Nearctic;Canada;30;57,24333836;12;40;18;0,01911621;391;0;7400,35;573,7636126;101185,759;1,3845;92,05453125;1;634,691322;1064,232231;79259792;1
440;-100,5;74,58264;5076818346;0,35;Tundra;Nearctic;Canada;30;61,06186569;9;30;21;0,019086285;299;0,080356808;7334,36;467,8847972;99019,69853;1,3845;92,05453125;1;634,691322;634,691322;68910;1
441;-99,5;74,58264;8507752598;0,64;Tundra;Nearctic;Canada;31;44,6651446;12;38,70967742;19;0,023893977;329;0,078141949;7820,18;442,9141777;98640,89379;1,3845;92,05453125;1;634,691322;645,9950301;79019,28947;1
442;-98,5;74,58264;8872326437;0,7;Tundra;Nearctic;Canada;31;1122,591698;26;83,87096774;5;0,023893977;347;0,095212154;7645,48;418,4361965;98257,06774;1,3845;92,05453125;1;634,691322;875,3377349;44444510,52;1
443;-97,5;74,58264;4519640366;0,35;Tundra;Nearctic;Canada;31;677,0450195;25;80,64516129;6;0,023893977;380;0,110726822;7103,98;394,5207841;97868,24294;1,3845;92,05453125;1;634,691322;657,1509774;4212323,046;1
445;-95,5;74,58264;5643901756;0,35;Tundra;Nearctic;Canada;31;77,96025145;14;45,16129032;17;0,026768301;419;0;6908,69;349,2371422;97075,68603;1,3845;92,05453125;1;634,691322;673,7404955;7290953,818;1
446;-94,5;74,58264;8794318196;0,65;Tundra;Nearctic;Canada;31;162,6049875;20;64,51612903;11;0,026768301;488;0;6893,98;332,1776317;96671,99798;1,3845;92,05453125;1;634,691322;740,5202416;18921455,78;1
447;-93,5;74,58264;6550610659;0,5;Tundra;Nearctic;Canada;30;326,6871001;25;83,33333333;5;0,021960609;432;0;6691,55;316,3806077;96263,39951;1,3845;92,05453125;1;634,691322;836,3537206;37088887,94;1
448;-92,5;74,58264;6774350506;0,5;Tundra;Nearctic;Canada;30;30,99928175;12;40;18;0,021491449;470;0;6512,78;301,7385209;95849,91269;1,3845;92,05453125;1;634,691322;634,691322;101015;1
449;-91,5;74,58264;8687268767;0,67;Tundra;Nearctic;Canada;31;6,906658653;6;19,35483871;25;0,021854821;539;0;6663,56;287,8983709;95431,55982;1,3845;92,05453125;1;634,691322;921,051928;52871218;1
450;-90,5;74,58264;5950550226;0,46;Tundra;Nearctic;Canada;31;63,8596408;10;32,25806452;21;0,021801353;586;0,007404133;6691,49;274,9761177;95008,3635;1,3845;92,05453125;1;634,691322;690,1159554;8442174,237;1
451;-89,5;74,58264;4849734318;0,36;Tundra;Nearctic;Canada;31;187,6391448;14;45,16129032;17;0,020017246;591;0,004948653;6555,08;263,196762;94580,34677;1,3845;92,05453125;1;634,691322;1045,141524;74911351,86;1
452;-88,5;74,58264;5928054942;0,44;Tundra;Nearctic;Canada;31;20,24272737;7;22,58064516;24;0,020017246;499;0;6513,51;252,8656426;94147,53321;1,3845;92,05453125;1;634,691322;947,0847104;52886473,17;1
453;-87,5;74,58264;7476632300;0,55;Tundra;Nearctic;Canada;31;61,52502645;6;19,35483871;25;0,020017246;690;0;6622,88;244,3624538;93709,94701;1,3845;92,05453125;1;634,691322;840,1239307;37954843,13;1
454;-86,5;74,58264;6486763618;0,49;Tundra;Nearctic;Canada;33;67,83043531;12;36,36363636;21;0,021662794;783;0;6170,4;238,1195453;93267,61317;1,3845;92,05453125;1;634,691322;1054,242908;1936828,455;1
455;-85,5;74,58264;5847454229;0,37;Tundra;Nearctic;Canada;33;796,9279993;25;75,75757576;8;0,021662794;848;0;6000,28;234,5666723;92820,55752;1,3845;92,05453125;1;634,691322;1021,464089;70767675,74;1
456;-84,5;74,58264;6353313817;0,35;Tundra;Nearctic;Canada;33;546,1716673;26;78,78787879;7;0,021662794;1270;0,01432498;5932,53;234,0444023;92368,80691;1,3845;92,05453125;1;634,691322;779,9407045;26786281,57;1
457;-83,5;74,58264;6868497059;0,32;Tundra;Nearctic;Canada;33;131,0330327;22;66,66666667;11;0,021622536;1653;0,129732358;5893,37;236,722991;91912,38926;1,3845;92,05453125;1;634,691322;943,5746723;123936,2444;1
458;-82,5;74,58264;7972681905;0,36;Tundra;Nearctic;Canada;33;126,6825909;16;48,48484848;17;0,021622536;1908;0,426905821;5786,59;242,578297;91451,33376;1,3845;92,05453125;1;634,691322;703,2350841;11853392;1
557;16,5;74,58264;NA;0;Tundra;Palaearctic;NA;10;0;0;0;10;0,022939085;NA;NA;NA;404,1813538;NA;NA;NA;NA;NA;NA;NA;0
559;18,5;74,58264;62620597,11;0,0029;Tundra;Palaearctic;Svalbard and Jan Mayen;6;68986,88609;1;16,66666667;5;0,005237771;144;0,989994247;1317,78;435,9328372;45176,65947;NA;2;0;NA;746,31687;2257259;0
560;19,5;74,58264;122569662,1;0,00561;Tundra;Palaearctic;Svalbard and Jan Mayen;6;22028,2895;1;16,66666667;5;0,005237771;429;0,995732503;1358,89;434,7221371;45223,05903;NA;2;0;NA;746,31687;2257259;0
565;24,5;74,58264;3600730,486;0,000133;Tundra;Palaearctic;Svalbard and Jan Mayen;8;0;0;0;8;0,005811367;11;1;1498;422,968304;NA;NA;2;0;NA;NA;NA;0
566;25,5;74,58264;1804006,875;0;Tundra;Palaearctic;Svalbard and Jan Mayen;8;0;0;0;8;0,005811367;0;1;1492,33;422,3759648;NA;NA;2;0;NA;NA;NA;0
627;86,5;74,58264;5962283854;0,37;Tundra;Palaearctic;Russia;40;0;0;0;40;0,035272281;271;0,198629555;3554,49;624,1971065;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
628;87,5;74,58264;8002037363;0,55;Tundra;Palaearctic;Russia;42;0;0;0;42;0,03583338;216;0,404091694;3261,79;618,0807889;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
629;88,5;74,58264;8791606549;0,65;Tundra;Palaearctic;Russia;43;0;0;0;43;0,036924739;279;0,354181314;2889,28;612,9576805;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
630;89,5;74,58264;9445409681;0,7;Tundra;Palaearctic;Russia;43;0;0;0;43;0,036924739;358;0,202083952;2736,55;608,7940372;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
631;90,5;74,58264;9863364560;0,75;Tundra;Palaearctic;Russia;42;0;0;0;42;0,036746708;432;0,056537023;2612,95;605,5686335;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
632;91,5;74,58264;10067181002;0,77;Tundra;Palaearctic;Russia;44;0;0;0;44;0,037998675;501;0;2859,38;603,2686918;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
633;92,5;74,58264;10418414131;0,81;Tundra;Palaearctic;Russia;45;0;0;0;45;0,03842694;451;0,022495545;3611,77;601,8880985;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
634;93,5;74,58264;11063368859;0,85;Tundra;Palaearctic;Russia;46;0;0;0;46;0,038602225;586;0,030812677;3350,39;601,427045;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
635;94,5;74,58264;11489803035;0,9;Tundra;Palaearctic;Russia;47;0;0;0;47;0,040012662;613;0,004869449;3068,02;601,8924977;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
636;95,5;74,58264;11642612855;0,91;Tundra;Palaearctic;Russia;47;0;0;0;47;0,040012662;602;0,15490892;3170,5;603,299024;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
637;96,5;74,58264;11301702594;0,86;Tundra;Palaearctic;Russia;47;0;0;0;47;0,039677317;645;0,536374456;3246,56;605,6695267;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
638;97,5;74,58264;11166424617;0,85;Tundra;Palaearctic;Russia;47;0;0;0;47;0,039677317;827;0,504585468;3290,38;602,5939214;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
639;98,5;74,58264;11624058850;0,89;Tundra;Palaearctic;Russia;49;0;0;0;49;0,040780882;532;0,539409643;3329,43;599,6365744;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
640;99,5;74,58264;12119289214;0,87;Tundra;Palaearctic;Russia;49;0;0;0;49;0,03568333;599;0,453460734;3206,22;597,7276221;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
641;100,5;74,58264;12447472631;0,85;Tundra;Palaearctic;Russia;48;0;0;0;48;0,034751363;572;0,33716645;3203,52;596,9386936;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
642;101,5;74,58264;12463505176;0,83;Tundra;Palaearctic;Russia;49;0;0;0;49;0,034963276;637;0,013099807;3379,37;597,3358565;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
643;102,5;74,58264;12463505176;0,92;Tundra;Palaearctic;Russia;52;0;0;0;52;0,036936014;620;0;3404,47;598,9728929;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
644;103,5;74,58264;12463505176;0,93;Tundra;Palaearctic;Russia;55;0,802342508;1;1,818181818;54;0,03965966;607;0,02087751;3157,36;601,886191;86814,75376;2,891166667;34,4086875;0;118,5801253;1064,232231;50750;1
645;104,5;74,58264;12463505176;0,88;Tundra;Palaearctic;Russia;55;0;0;0;55;0,03965966;558;0,122718118;3109,6;606,0931222;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
646;105,5;74,58264;12202301449;0,92;Tundra;Palaearctic;Russia;55;0;0;0;55;0,044802698;778;0,14505189;3306,6;604,0205065;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
647;106,5;74,58264;11604046476;0,88;Tundra;Palaearctic;Russia;56;0;0;0;56;0,049697179;838;0,203680194;3135,49;600,0343237;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
648;107,5;74,58264;10808207564;0,8;Tundra;Palaearctic;Russia;56;0;0;0;56;0,049697179;1123;0,097595743;3003,54;597,2442238;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
649;108,5;74,58264;10563572559;0,83;Tundra;Palaearctic;Russia;56;0;0;0;56;0,049765157;1005;0;2985,94;595,6564741;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
650;109,5;74,58264;10316169066;0,8;Tundra;Palaearctic;Russia;55;0;0;0;55;0,047975672;985;0;3043,06;595,2841293;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
651;110,5;74,58264;10419050472;0,82;Tundra;Palaearctic;Russia;55;0;0;0;55;0,047652362;1042;0;2931,04;594,7061415;NA;2,891166667;34,4086875;0;118,5801253;NA;NA;0
